Flow_id,device,eth_Type,timeout,bord,nmbr_occ,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,total packets,total bytes,tot_forward_pkts,tot_backward_pkts,tot_forward_len_pkts,tot_backward_len_pkts,Pkts_len_mean,Flow Pkts/s,Flow Byts/s,Frd Flow PKts/s,Bwd Flow Pkts/s,Frd Flow Byts/s,Bwd Flow Byts/s,Frd_pkts_max_interval_2s,Frd_pkts_min_interval_2s,Frd_pkts_mean_interval_2s,Frd_pkts_std_interval_2s,Bwd_pkts_max_interval_2s,Bwd_pkts_min_interval_2s,Bwd_pkts_mean_interval_2s,Bwd_pkts_std_interval_2s,Frd_bytes_max_interval_2s,Frd_bytes_min_interval_2s,Frd_bytes_mean_interval_2s,Frd_bytes_std_interval_2s,Bwd_bytes_max_interval_2s,Bwd_bytes_min_interval_2s,Bwd_bytes_mean_interval_2s,Bwd_bytes_std_interval_2s,Idle_Max,Idle_Min,Idle_Mean,Idle_Std,Active_Max,Active_Min,Active_Mean,Active_Std,Total_packets_src,Total_bytes_src,Number_of_flows_src,Total_packets_dst,Total_bytes_dst,Number_of_flows_dst,timestamp
45880421521387159,of:00004e7de7353a40,0x800,10,0,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58478,443,3,11,4190,6,5,1375,2815,380.90909090909093,3.67,1396.66,2.0,1.67,458.33,938.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,2000,0,0,0,0,0,9.0,1904.0,2.0,18.0,3808.0,4.0,50900320
45880423548922017,of:00004e7de7353a40,0x800,10,0,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:D0:96:2F,192.168.1.26/32,192.168.1.25/32,6,52292,80,2,5,1096,3,2,529,567,219.2,2.5,548.0,1.5,1.0,264.5,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,2000,2000,0,0,0,0,0,9.0,1904.0,2.0,18.0,3808.0,4.0,50900320
45880421405754783,of:00006a0c44499c45,0x800,10,1,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,35166,80,4,5,1096,3,2,529,567,219.2,1.25,274.0,0.75,0.5,132.25,141.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,4000,4000,0,0,0,0,0,9.0,1904.0,2.0,9.0,1904.0,2.0,50901619
45880424866786976,of:00006a0c44499c45,0x800,10,1,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58478,4,10,4124,4,6,2749,1375,412.4,2.5,1031.0,1.0,1.5,687.25,343.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,4000,4000,0,0,0,0,0,6.0,3316.0,2.0,6.0,3316.0,2.0,50901619
45880422904932608,of:00004e7de7353a40,0x800,10,1,1,False,10,1,2,08:00:27:D0:96:2F,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,443,51976,4,11,4190,5,6,2815,1375,380.90909090909093,2.75,1047.5,1.25,1.5,703.75,343.75,2.0,0.0,1.0,1.41,3.0,0.0,1.5,2.12,2461.0,0.0,1230.5,1740.19,660.0,0.0,330.0,466.69,2000,2000,2000,0,2000,2000,2000,0,14.0,6764.0,4.0,7.0,3382.0,2.0,50902322
45880423106136448,of:00004e7de7353a40,0x800,10,1,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,80,35166,5,5,1096,2,3,567,529,219.2,1.0,219.2,0.4,0.6,113.4,105.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,4000,4000,0,0,0,0,0,14.0,6764.0,4.0,7.0,3382.0,2.0,50902322
45880421521387159,of:00004e7de7353a40,0x800,10,1,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58478,443,5,11,4190,6,5,1375,2815,380.90909090909093,2.2,838.0,1.2,1.0,275.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,4000,4000,0,0,0,0,0,9.0,1904.0,2.0,18.0,3808.0,4.0,50902322
45880423548922017,of:00004e7de7353a40,0x800,10,1,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:D0:96:2F,192.168.1.26/32,192.168.1.25/32,6,52292,80,4,5,1096,3,2,529,567,219.2,1.25,274.0,0.75,0.5,132.25,141.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000,4000,4000,0,0,0,0,0,9.0,1904.0,2.0,18.0,3808.0,4.0,50902322
45880421405754783,of:00006a0c44499c45,0x800,10,0,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,35166,80,6,8,1294,5,3,661,633,161.75,1.33,215.67000000000002,0.83,0.5,110.17,105.5,2.0,0.0,0.67,1.15,1.0,0.0,0.33,0.58,132.0,0.0,44.0,76.21,66.0,0.0,22.0,38.11,4000,4000,4000,0,2000,2000,2000,0,13.0,2199.0,2.0,13.0,2199.0,2.0,50903620
45880424866786976,of:00006a0c44499c45,0x800,10,0,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58478,6,15,4516,7,8,2978,1538,301.06666666666666,2.5,752.66,1.17,1.33,496.33,256.33,3.0,0.0,1.0,1.73,2.0,0.0,0.67,1.15,229.0,0.0,76.33,132.21,163.0,0.0,54.33,94.11,4000,4000,4000,0,2000,2000,2000,0,10.0,3611.0,2.0,10.0,3611.0,2.0,50903620
45880422904932608,of:00004e7de7353a40,0x800,10,0,1,False,10,1,2,08:00:27:D0:96:2F,08:00:27:02:34:4F,192.168.1.25/32,192.168.1.26/32,6,443,51976,6,13,4900,6,7,2881,2019,376.9230769230769,2.17,816.6700000000001,1.0,1.17,480.17,336.5,2.0,0.0,1.0,1.0,3.0,0.0,1.33,1.53,2461.0,0.0,842.33,1402.19,660.0,0.0,434.67,376.52,2000,2000,2000,0,2000,2000,2000,0.0,21.0,7257.0,4.0,10.0,3580.0,2.0,50904321
45880423106136448,of:00004e7de7353a40,0x800,10,0,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,80,35166,7,8,1294,3,5,633,661,161.75,1.14,184.86,0.43,0.71,90.43,94.43,1.0,0.0,0.33,0.58,2.0,0.0,0.67,1.15,66.0,0.0,22.0,38.11,132.0,0.0,44.0,76.21,4000,4000,4000,0,2000,2000,2000,0,21.0,7257.0,4.0,11.0,3677.0,2.0,50904321
45880421521387159,of:00004e7de7353a40,0x800,10,0,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,58478,443,7,16,4582,8,8,1538,3044,286.375,2.28,654.57,1.14,1.14,219.71,434.86,2.0,0.0,0.67,1.15,3.0,0.0,1.0,1.73,163.0,0.0,54.33,94.11,229.0,0.0,76.33,132.21,4000,4000,4000,0,2000,2000,2000,0,13.0,2199.0,2.0,24.0,4813.0,4.0,50904321
45880423548922017,of:00004e7de7353a40,0x800,10,0,1,False,10,2,1,08:00:27:02:34:4F,08:00:27:D0:96:2F,192.168.1.26/32,192.168.1.25/32,6,52292,80,6,8,1294,4,4,595,699,161.75,1.34,215.67000000000002,0.67,0.67,99.17,116.5,1.0,0.0,0.33,0.58,2.0,0.0,0.67,1.15,66.0,0.0,22.0,38.11,132.0,0.0,44.0,76.21,4000,4000,4000,0,2000,2000,2000,0,11.0,2614.0,2.0,24.0,4813.0,4.0,50904321
45880421405754783,of:00006a0c44499c45,0x800,10,1,1,False,10,3,1,08:00:27:7E:16:51,08:00:27:D0:96:2F,192.168.1.36/32,192.168.1.25/32,6,35166,80,8,8,1294,5,3,661,633,161.75,1.0,161.74,0.62,0.38,82.62,79.12,2.0,0.0,0.5,1.0,1.0,0.0,0.25,0.5,132.0,0.0,33.0,66.0,66.0,0.0,16.5,33.0,4000,2000,3000,1414.21,2000,2000,2000,0,13.0,2199.0,2.0,13.0,2199.0,2.0,50905619
45880424866786976,of:00006a0c44499c45,0x800,10,1,1,False,10,1,3,08:00:27:D0:96:2F,08:00:27:7E:16:51,192.168.1.25/32,192.168.1.36/32,6,443,58478,8,15,4516,7,8,2978,1538,301.06666666666666,1.88,564.5,0.88,1.0,372.25,192.25,3.0,0.0,0.75,1.5,2.0,0.0,0.5,1.0,229.0,0.0,57.25,114.5,163.0,0.0,40.75,81.5,4000,2000,3000,1414.21,2000,2000,2000,0,10.0,3611.0,2.0,10.0,3611.0,2.0,50905619
