Flow_id,device,eth_Type,timeout,bord,nmbr_occ,permanent,priority,input,output,mac_src,mac_dst,ipv4_src,ipv4_dst,ip_proto,port_src,port_dst,flow_duration,total packets,total bytes,tot_forward_pkts,tot_backward_pkts,tot_forward_len_pkts,tot_backward_len_pkts,Pkts_len_mean,Flow Pkts/s,Flow Byts/s,Frd Flow PKts/s,Bwd Flow Pkts/s,Frd Flow Byts/s,Bwd Flow Byts/s,Frd_pkts_max_interval_2s,Frd_pkts_min_interval_2s,Frd_pkts_mean_interval_2s,Frd_pkts_std_interval_2s,Bwd_pkts_max_interval_2s,Bwd_pkts_min_interval_2s,Bwd_pkts_mean_interval_2s,Bwd_pkts_std_interval_2s,Frd_bytes_max_interval_2s,Frd_bytes_min_interval_2s,Frd_bytes_mean_interval_2s,Frd_bytes_std_interval_2s,Bwd_bytes_max_interval_2s,Bwd_bytes_min_interval_2s,Bwd_bytes_mean_interval_2s,Bwd_bytes_std_interval_2s,Idle_Max,Idle_Min,Idle_Mean,Idle_Std,Active_Max,Active_Min,Active_Mean,Active_Std,Total_packets_src,Total_bytes_src,Number_of_flows_src,Total_packets_dst,Total_bytes_dst,Number_of_flows_dst,timestamp
844425488696777,of:0000000000000002,0x800,10,1,1,False,10,3,2,5A:CD:D0:3B:3A:CD,2E:DE:3B:A0:D3:4B,192.168.1.50/32,192.168.1.45/32,N/A,N/A,N/A,84,194,19012,97,97,9506,9506,98.0,2.3,226.34,1.15,1.15,113.17,113.17,4.0,0.0,2.34,0.88,4.0,0.0,2.34,0.88,392.0,0.0,229.46,86.58,392.0,0.0,229.46,86.58,2000,2000,2000,0,80000,80000,80000,0,133.0,13034.0,2.0,97.0,9506.0,1.0,35375758
844428682471135,of:0000000000000002,0x800,10,1,1,False,10,3,2,36:79:DF:4B:CD:6D,08:00:27:02:34:4F,192.168.1.48/32,192.168.1.26/32,N/A,N/A,N/A,8,16,1568,8,8,784,784,98.0,2.0,196.0,1.0,1.0,98.0,98.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,196.0,196.0,196.0,0.0,196.0,196.0,196.0,0.0,0,0,0,0,8000,8000,8000,0,8.0,784.0,1.0,102.0,9996.0,2.0,35375758
844428798879335,of:0000000000000002,0x800,10,1,1,False,10,2,3,0A:70:77:7B:D0:1D,5A:CD:D0:3B:3A:CD,192.168.1.46/32,192.168.1.50/32,N/A,N/A,N/A,37,72,7056,36,36,3528,3528,98.0,1.94,190.7,0.97,0.97,95.35,95.35,3.0,1.0,2.0,0.34,3.0,1.0,2.0,0.34,294.0,98.0,196.0,33.61,294.0,98.0,196.0,33.61,0,0,0,0,36000,36000,36000,0,36.0,3528.0,1.0,133.0,13034.0,2.0,35375758
844426154496139,of:0000ca7544dc0642,0x800,10,1,1,False,10,3,4,08:00:27:02:34:4F,2E:DE:3B:A0:D3:4B,192.168.1.26/32,192.168.1.45/32,N/A,N/A,N/A,96,304,29792,152,152,14896,14896,98.0,3.16,310.34,1.58,1.58,155.17,155.17,6.0,1.0,3.21,1.08,6.0,1.0,3.21,1.08,588.0,98.0,314.85,106.05,588.0,98.0,314.85,106.05,0,0,0,0,94000,94000,94000,0,254.0,24892.0,3.0,152.0,14896.0,1.0,35375271
844426689249940,of:0000ca7544dc0642,0x800,10,1,1,False,10,3,4,08:00:27:02:34:4F,36:79:DF:4B:CD:6D,192.168.1.26/32,192.168.1.48/32,N/A,N/A,N/A,8,16,1568,8,8,784,784,98.0,2.0,196.0,1.0,1.0,98.0,98.0,3.0,1.0,2.0,0.82,3.0,1.0,2.0,0.82,294.0,98.0,196.0,80.02,294.0,98.0,196.0,80.02,0,0,0,0,8000,8000,8000,0,254.0,24892.0,3.0,8.0,784.0,1.0,35375272
844425088137283,of:0000ca7544dc0642,0x800,10,1,1,False,10,4,1,0A:70:77:7B:D0:1D,08:00:27:D4:A3:EA,192.168.1.46/32,192.168.1.35/32,N/A,N/A,N/A,18,34,3332,17,17,1666,1666,98.0,1.88,185.12,0.94,0.94,92.56,92.56,2.0,1.0,1.89,0.33,2.0,1.0,1.89,0.33,196.0,98.0,185.11,32.67,196.0,98.0,185.11,32.67,0,0,0,0,18000,18000,18000,0,17.0,1666.0,1.0,17.0,1666.0,1.0,35375272
844428405532405,of:0000ca7544dc0642,0x800,10,1,1,False,10,4,3,FA:81:8F:EF:27:BC,08:00:27:02:34:4F,192.168.1.47/32,192.168.1.26/32,N/A,N/A,N/A,101,188,18424,94,94,9212,9212,98.0,1.86,182.42,0.93,0.93,91.21,91.21,3.0,0.0,1.88,0.48,3.0,0.0,1.88,0.48,294.0,0.0,184.24,47.02,294.0,0.0,184.24,47.02,4000,4000,4000,0,96000,96000,96000,0,94.0,9212.0,1.0,254.0,24892.0,3.0,35375271
844425780431362,of:0000328dd09ba943,0x800,10,0,1,False,10,2,3,08:00:27:02:34:4F,36:79:DF:4B:CD:6D,192.168.1.26/32,192.168.1.48/32,N/A,N/A,N/A,11,20,1960,10,10,980,980,98.0,1.82,178.18,0.91,0.91,89.09,89.09,2.0,1.0,1.8,0.45,2.0,1.0,1.8,0.45,196.0,98.0,176.4,43.83,196.0,98.0,176.4,43.83,0,0,0,0,10000,10000,10000,0,258.0,25284.0,3.0,10.0,980.0,1.0,35377977
844427256866204,of:0000328dd09ba943,0x800,10,0,1,False,10,3,2,2E:DE:3B:A0:D3:4B,08:00:27:02:34:4F,192.168.1.45/32,192.168.1.26/32,N/A,N/A,N/A,99,308,30184,154,154,15092,15092,98.0,3.12,304.88,1.56,1.56,152.44,152.44,6.0,1.0,3.19,1.04,6.0,1.0,3.19,1.04,588.0,98.0,312.38,102.4,588.0,98.0,312.38,102.4,0,0,0,0,96000,96000,96000,0,154.0,15092.0,1.0,258.0,25284.0,3.0,35377977
844427833836963,of:0000328dd09ba943,0x800,10,0,1,False,10,3,2,FA:81:8F:EF:27:BC,08:00:27:02:34:4F,192.168.1.47/32,192.168.1.26/32,N/A,N/A,N/A,104,188,18424,94,94,9212,9212,98.0,1.8,177.16,0.9,0.9,88.58,88.58,3.0,0.0,1.84,0.64,3.0,0.0,1.84,0.64,294.0,0.0,180.63,63.12,294.0,0.0,180.63,63.12,8000,8000,8000,0,94000,94000,94000,0,94.0,9212.0,1.0,258.0,25284.0,3.0,35377977
844425334072710,of:0000000000000003,0x800,10,0,1,False,10,3,4,2E:DE:3B:A0:D3:4B,5A:CD:D0:3B:3A:CD,192.168.1.45/32,192.168.1.50/32,N/A,N/A,N/A,86,194,19012,97,97,9506,9506,98.0,2.26,221.06,1.13,1.13,110.53,110.53,4.0,0.0,2.29,0.94,4.0,0.0,2.29,0.94,392.0,0.0,224.0,92.56,392.0,0.0,224.0,92.56,4000,4000,4000,0,80000,80000,80000,0,97.0,9506.0,1.0,135.0,13230.0,2.0,35377683
844425233885337,of:0000000000000003,0x800,10,0,1,False,10,3,4,0A:70:77:7B:D0:1D,5A:CD:D0:3B:3A:CD,192.168.1.46/32,192.168.1.50/32,N/A,N/A,N/A,39,76,7448,38,38,3724,3724,98.0,1.94,190.98,0.97,0.97,95.49,95.49,3.0,1.0,2.0,0.33,3.0,1.0,2.0,0.33,294.0,98.0,196.0,32.67,294.0,98.0,196.0,32.67,0,0,0,0,38000,38000,38000,0,38.0,3724.0,1.0,135.0,13230.0,2.0,35377683
844427658471977,of:0000000000000003,0x800,10,0,1,False,10,1,3,36:79:DF:4B:CD:6D,08:00:27:02:34:4F,192.168.1.48/32,192.168.1.26/32,N/A,N/A,N/A,10,20,1960,10,10,980,980,98.0,2.0,196.0,1.0,1.0,98.0,98.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,196.0,196.0,196.0,0.0,196.0,196.0,196.0,0.0,0,0,0,0,10000,10000,10000,0,10.0,980.0,1.0,10.0,980.0,1.0,35377683
844427651501882,of:0000000000000003,0x800,10,0,1,False,10,2,3,FA:E8:78:00:94:40,FA:81:8F:EF:27:BC,192.168.1.49/32,192.168.1.47/32,N/A,N/A,N/A,101,194,19012,97,97,9506,9506,98.0,1.92,188.24,0.96,0.96,94.12,94.12,3.0,1.0,1.94,0.37,3.0,1.0,1.94,0.37,294.0,98.0,190.12,36.56,294.0,98.0,190.12,36.56,0,0,0,0,100000,100000,100000,0,97.0,9506.0,1.0,97.0,9506.0,1.0,35377683
